,Sector
AJ네트웍스,산업용 기계 및 장비 임대업
AJ렌터카,운송장비 임대업
AK홀딩스,기타 금융업
AP우주통신,전자부품 제조업
BGF,종합 소매업
BGF리테일,종합 소매업
BHK,상품 종합 도매업
BNK금융지주,기타 금융업
BYC,봉제의복 제조업
C&우방,건물 건설업
C&중공업,자동차용 엔진 및 자동차 제조업
CJ,기타 금융업
CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업"
CJ대한통운,도로 화물 운송업
CJ씨푸드,기타 식품 제조업
CJ제일제당,기타 식품 제조업
CJ헬로,텔레비전 방송업
CS홀딩스,기타 금융업
DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
DB금융투자,금융 지원 서비스업
DB손해보험,보험업
DB하이텍,반도체 제조업
DGB금융지주,기타 금융업
DRB동일,기타 금융업
DSR,1차 비철금속 제조업
DSR제강,1차 철강 제조업
E1,기타 전문 도매업
F&F,봉제의복 제조업
FnC코오롱,봉제의복 제조업
GBS,기타 금속 가공제품 제조업
GKL,유원지 및 기타 오락관련 서비스업
GPS,전자부품 제조업
GS,기타 금융업
GS건설,건물 건설업
GS글로벌,상품 종합 도매업
GS리테일,종합 소매업
HDC,건물 건설업
HDC아이콘트롤스,전기 및 통신 공사업
HDC현대EP,기타 화학제품 제조업
HDC현대산업개발,건물 건설업
HSD엔진,일반 목적용 기계 제조업
JB금융지주,기타 금융업
JS전선,절연선 및 케이블 제조업
JW생명과학,의약품 제조업
JW중외제약,의약품 제조업
JW홀딩스,기타 금융업
KB금융,기타 금융업
KB손해보험,보험업
KB캐피탈,기타 금융업
KC그린홀딩스,기타 금융업
KC코트렐,일반 목적용 기계 제조업
KEC,반도체 제조업
KEP전자,전자부품 제조업
KG케미칼,기초 화학물질 제조업
KISCO홀딩스,기타 금융업
KNC,통신 및 방송 장비 제조업
KPX케미칼,기초 화학물질 제조업
KPX홀딩스,기타 금융업
KR모터스,그외 기타 운송장비 제조업
KSS해운,해상 운송업
KTB투자증권,금융 지원 서비스업
KTF,전기 통신업
KTcs,기타 정보 서비스업
LF,봉제의복 제조업
LG,기타 금융업
LGEI,회사 본부 및 경영 컨설팅 서비스업
LG금속,1차 비철금속 제조업
LG데이콤,전기 통신업
LG디스플레이,전자부품 제조업
LG상사,상품 중개업
LG생명과학,의약품 제조업
LG생활건강,기타 화학제품 제조업
LG석유화학,기초 화학물질 제조업
LG유플러스,전기 통신업
LG이노텍,전자부품 제조업
LG전자,통신 및 방송 장비 제조업
LG정보,통신 및 방송 장비 제조업
LG종합금융,기타 금융업
LG카드,기타 금융업
LG파워콤,전기 통신업
LG하우시스,플라스틱제품 제조업
LG화학,기초 화학물질 제조업
LIG넥스원,무기 및 총포탄 제조업
LS,기타 금융업
LS네트웍스,상품 종합 도매업
LS산전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
LS전선아시아,기타 금융업
MH에탄올,알코올음료 제조업
NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
NHN엔터테인먼트,소프트웨어 개발 및 공급업
NH농협증권,금융 지원 서비스업
NH투자증권,금융 지원 서비스업
NICE,회사 본부 및 경영 컨설팅 서비스업
NI스틸,1차 철강 제조업
OCI,기초 화학물질 제조업
S&TC,일반 목적용 기계 제조업
S&T모티브,자동차 신품 부품 제조업
S&T중공업,자동차 신품 부품 제조업
S&T홀딩스,기타 금융업
S-Oil,석유 정제품 제조업
SBI모기지,기타 금융업
SBS,텔레비전 방송업
SBS미디어홀딩스,기타 금융업
SG세계물산,상품 종합 도매업
SG충방,자동차 신품 부품 제조업
SH에너지화학,기초 화학물질 제조업
SIMPAC,특수 목적용 기계 제조업
SK,기타 금융업
SKC,기타 화학제품 제조업
SKf,회사 본부 및 경영 컨설팅 서비스업
SK가스,기타 전문 도매업
SK네트웍스,기타 전문 도매업
SK디스커버리,기타 금융업
SK디앤디,부동산 임대 및 공급업
SK이노베이션,기타 금융업
SK증권,금융 지원 서비스업
SK케미칼,합성고무 및 플라스틱 물질 제조업
SK텔레콤,전기 통신업
SK하이닉스,반도체 제조업
SPC삼립,기타 식품 제조업
STX,상품 종합 도매업
STX엔진,일반 목적용 기계 제조업
STX조선해양,선박 및 보트 건조업
STX중공업,일반 목적용 기계 제조업
SY,동물용 사료 및 조제식품 제조업
TCC동양,1차 철강 제조업
WISCOM,플라스틱제품 제조업
YG PLUS,"인형,장난감 및 오락용품 제조업"
가온전선,절연선 및 케이블 제조업
갑을,"섬유제품 염색, 정리 및 마무리 가공업"
갑을방적,방적 및 가공사 제조업
강남제비스코,기타 화학제품 제조업
강원랜드,유원지 및 기타 오락관련 서비스업
강원산업,1차 철강 제조업
강원은행,은행 및 저축기관
갤럭시아에스엠,스포츠 서비스업
거성산업,"건축자재, 철물 및 난방장치 도매업"
건영,건물 건설업
경기은행,은행 및 저축기관
경남기업,건물 건설업
경남모직,직물직조 및 직물제품 제조업
경남에너지,연료용 가스 제조 및 배관공급업
경남은행,은행 및 저축기관
경남은행f,은행 및 저축기관
경남종합금융,기타 금융업
경농,"비료, 농약 및 살균, 살충제 제조업"
경동나비엔,가정용 기기 제조업
경동도시가스,연료용 가스 제조 및 배관공급업
경동산업,기타 금속 가공제품 제조업
경동인베스트,기타 금융업
경방,방적 및 가공사 제조업
경보제약,기초 의약물질 및 생물학적 제제 제조업
경인양행,기초 화학물질 제조업
경인전자,전자부품 제조업
경향건설,토목 건설업
계룡건설산업,토목 건설업
계몽사,"서적, 잡지 및 기타 인쇄물 출판업"
계양전기,일반 목적용 기계 제조업
고덴시,반도체 제조업
고려개발,토목 건설업
고려산업,"곡물가공품, 전분 및 전분제품 제조업"
고려석유화학,기초 화학물질 제조업
고려시멘트f,"시멘트, 석회, 플라스터 및 그 제품 제조업"
고려아연,1차 비철금속 제조업
고려제강,1차 철강 제조업
고려종합금융,기타 금융업
고려증권,금융 지원 서비스업
고려화학,기타 화학제품 제조업
고제,기타 식품 제조업
고합,기초 화학물질 제조업
고합물산,기타 전문 도매업
골든브릿지증권,금융 지원 서비스업
공영토건,건물 건설업
광덕물산,봉제의복 제조업
광동제약,의약품 제조업
광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
광전자,반도체 제조업
광주신세계,종합 소매업
광주은행,은행 및 저축기관
광주은행f,은행 및 저축기관
교보증권,금융 지원 서비스업
국도화학,기초 화학물질 제조업
국동,생활용품 도매업
국민은행,은행 및 저축기관
국민은행f,은행 및 저축기관
국보,도로 화물 운송업
국제약품,의약품 제조업
굿모닝신한증권,금융 지원 서비스업
그린손해보험,보험업
그린케미칼,기타 화학제품 제조업
극동유화,석유 정제품 제조업
극동전선,절연선 및 케이블 제조업
극동제혁,"가죽, 가방 및 유사제품 제조업"
글로스텍,반도체 제조업
금강공업,1차 철강 제조업
금강피혁,"가죽, 가방 및 유사제품 제조업"
금강화섬,방적 및 가공사 제조업
금경,기타 전문 도매업
금비,유리 및 유리제품 제조업
금성계전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
금성기전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
금성통신,통신 및 방송 장비 제조업
금양,기초 화학물질 제조업
금하방직,방적 및 가공사 제조업
금호건설,토목 건설업
금호산업,건물 건설업
금호석유화학,기초 화학물질 제조업
금호에이치티,자동차 신품 부품 제조업
금호전기,전구 및 조명장치 제조업
금호케미칼,합성고무 및 플라스틱 물질 제조업
금호타이어,고무제품 제조업
기라정보통신,통신 및 방송 장비 제조업
기린,기타 식품 제조업
기산,건물 건설업
기신정기,특수 목적용 기계 제조업
기아자동차,자동차용 엔진 및 자동차 제조업
기아자동차판매,자동차 판매업
기업은행,은행 및 저축기관
까뮤이앤씨,건물 건설업
깨끗한나라,"펄프, 종이 및 판지 제조업"
나노메딕스,일반 목적용 기계 제조업
나라종금,기타 금융업
나우정밀,전자부품 제조업
남광토건,토목 건설업
남선물산,방적 및 가공사 제조업
남선알미늄,1차 비철금속 제조업
남성,기타 전문 도매업
남양,기타 섬유제품 제조업
남양유업,낙농제품 및 식용빙과류 제조업
남영비비안,봉제의복 제조업
남한제지,"펄프, 종이 및 판지 제조업"
남해화학,"비료, 농약 및 살균, 살충제 제조업"
넥상스코리아,절연선 및 케이블 제조업
넥센,기타 금융업
넥센타이어,고무제품 제조업
넥솔론,반도체 제조업
넥스트사이언스,기타 비금속광물 광업
넷마블,소프트웨어 개발 및 공급업
노루페인트,기타 화학제품 제조업
노루홀딩스,기타 금융업
녹십자,의약품 제조업
녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업
논노,봉제의복 제조업
농심,기타 식품 제조업
농심홀딩스,기타 금융업
뉴맥스,컴퓨터 및 주변장치 제조업
다스코,"구조용 금속제품, 탱크 및 증기발생기 제조업"
다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
다함이텍,회사 본부 및 경영 컨설팅 서비스업
대교,초등 교육기관
대구백화점,종합 소매업
대구은행,은행 및 저축기관
대구종합금융,기타 금융업
대덕GDS,전자부품 제조업
대덕전자,전자부품 제조업
대동공업,특수 목적용 기계 제조업
대동전자,통신 및 방송 장비 제조업
대림비앤코,"내화, 비내화 요업제품 제조업"
대림산업,토목 건설업
대림씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
대림통상,기타 금속 가공제품 제조업
대상,기타 식품 제조업
대상교역,기타 전문 도매업
대상홀딩스,기타 금융업
대선주조,알코올음료 제조업
대성산업,연료 소매업
대성에너지,연료용 가스 제조 및 배관공급업
대성자원,석탄 광업
대성합동지주,회사 본부 및 경영 컨설팅 서비스업
대성홀딩스,회사 본부 및 경영 컨설팅 서비스업
대신증권,금융 지원 서비스업
대아리드선,전자부품 제조업
대양금고,은행 및 저축기관
대양금속,1차 철강 제조업
대영포장,"골판지, 종이 상자 및 종이용기 제조업"
대우,기타 전문 도매업
대우건설,건물 건설업
대우부품,자동차 신품 부품 제조업
대우송도개발,자동차 판매업
대우전자,전자부품 제조업
대우정밀공업,자동차 신품 부품 제조업
대우조선해양,선박 및 보트 건조업
대우중공업,일반 목적용 기계 제조업
대우증권스팩,기타 금융업
대우통신,통신 및 방송 장비 제조업
대웅,기타 금융업
대웅제약,의약품 제조업
대원강업,자동차 신품 부품 제조업
대원전선,절연선 및 케이블 제조업
대원제약,의약품 제조업
대원화성,플라스틱제품 제조업
대유에이텍,자동차 신품 부품 제조업
대유플러스,통신 및 방송 장비 제조업
대일화학,의약품 제조업
대창,1차 비철금속 제조업
대창단조,자동차 신품 부품 제조업
대한모방,직물직조 및 직물제품 제조업
대한방직,직물직조 및 직물제품 제조업
대한알미늄,1차 비철금속 제조업
대한유화,기초 화학물질 제조업
대한은박지,1차 비철금속 제조업
대한전선,절연선 및 케이블 제조업
대한제강,1차 철강 제조업
대한제당,"곡물가공품, 전분 및 전분제품 제조업"
대한제분,"곡물가공품, 전분 및 전분제품 제조업"
대한종합금융,기타 금융업
대한중석,기타 금속 가공제품 제조업
대한항공,항공 여객 운송업
대한해운,해상 운송업
대한화섬,화학섬유 제조업
대현,봉제의복 제조업
대호,토목 건설업
대호에이엘,1차 비철금속 제조업
더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
덕성,플라스틱제품 제조업
덕양산업,자동차 신품 부품 제조업
덴티움,의료용 기기 제조업
도레이케미칼,직물직조 및 직물제품 제조업
도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
동국방직,방적 및 가공사 제조업
동국실업,자동차 신품 부품 제조업
동국전자,영상 및 음향기기 제조업
동국제강,1차 철강 제조업
동남합성,기초 화학물질 제조업
동방,도로 화물 운송업
동방개발,기타 전문 도매업
동방아그로,"비료, 농약 및 살균, 살충제 제조업"
동부건설,토목 건설업
동부산업,기타 전문 도매업
동부일렉트로닉스,반도체 제조업
동부제철,1차 철강 제조업
동부화학,기초 화학물질 제조업
동산씨앤지,기타 화학제품 제조업
동서,음·식료품 및 담배 도매업
동서증권,금융 지원 서비스업
동성반도체,전자부품 제조업
동성제약,의약품 제조업
동성코퍼레이션,회사 본부 및 경영 컨설팅 서비스업
동성화학,기초 화학물질 제조업
동신,건물 건설업
동신제약,의약품 제조업
동신제지,"펄프, 종이 및 판지 제조업"
동아건설,토목 건설업
동아금고,은행 및 저축기관
동아쏘시오홀딩스,기타 금융업
동아에스티,의약품 제조업
동아지질,기반조성 및 시설물 축조관련 전문공사업
동아타이어,고무제품 제조업
동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
동양고속,육상 여객 운송업
동양네트웍스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
동양물산기업,특수 목적용 기계 제조업
동양밸류스팩,기타 금융업
동양생명,보험업
동양철관,1차 철강 제조업
동양피스톤,자동차용 엔진 및 자동차 제조업
동양현대종금,기타 금융업
동양화학,기초 화학물질 제조업
동원F&B,기타 식품 제조업
동원금속,자동차 신품 부품 제조업
동원산업,어로 어업
동원수산,어로 어업
동원시스템즈,플라스틱제품 제조업
동원증권,금융 지원 서비스업
동일고무벨트,고무제품 제조업
동일방직,방적 및 가공사 제조업
동일산업,1차 철강 제조업
동일제강,1차 철강 제조업
동화약품,의약품 제조업
두산,회사 본부 및 경영 컨설팅 서비스업
두산건설,건물 건설업
두산건설f,토목 건설업
두산기계,특수 목적용 기계 제조업
두산밥캣,기타 금융업
두산백화,알코올음료 제조업
두산상사,기타 전문 도매업
두산음료,알코올음료 제조업
두산인프라코어,특수 목적용 기계 제조업
두산종합식품,기타 식품 제조업
두산중공업,일반 목적용 기계 제조업
두산테크팩,유리 및 유리제품 제조업
두올,자동차 신품 부품 제조업
디씨엠,1차 철강 제조업
디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
디아이씨,자동차 신품 부품 제조업
디와이,기타 금융업
디와이파워,특수 목적용 기계 제조업
디와이홀딩스,일반 목적용 기계 제조업
디티알오토모티브,일차전지 및 축전지 제조업
디피씨,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
라미화장품,기타 화학제품 제조업
라이프주택개발,건물 건설업
락앤락,플라스틱제품 제조업
레이디,가구 제조업
로케트전기,일차전지 및 축전지 제조업
롯데관광개발,여행사 및 기타 여행보조 서비스업
롯데미도파,종합 소매업
롯데손해보험,보험업
롯데쇼핑,종합 소매업
롯데정밀화학,기초 화학물질 제조업
롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
롯데제과,기타 식품 제조업
롯데지주,기타 금융업
롯데칠성음료,비알코올음료 및 얼음 제조업
롯데케미칼,기초 화학물질 제조업
롯데푸드,낙농제품 및 식용빙과류 제조업
롯데하이마트,가전제품 및 정보통신장비 소매업
리젠트종금,기타 금융업
리젠트화재,보험업
마니커,"도축, 육류 가공 및 저장 처리업"
마이크로닉스,방적 및 가공사 제조업
만도,자동차 신품 부품 제조업
만도기계,자동차 신품 부품 제조업
만호제강,1차 철강 제조업
맥슨텔레콤,통신 및 방송 장비 제조업
메디플란트,기타 사업지원 서비스업
메리츠금융지주,기타 금융업
메리츠종금,기타 금융업
메리츠종금증권,금융 지원 서비스업
메리츠화재,보험업
메타랩스,봉제의복 제조업
명문제약,의약품 제조업
모나리자,기타 종이 및 판지 제품 제조업
모나미,생활용품 도매업
모토닉,자동차 신품 부품 제조업
무림P&P,"펄프, 종이 및 판지 제조업"
무림페이퍼,"펄프, 종이 및 판지 제조업"
무학,알코올음료 제조업
문배철강,1차 철강 제조업
미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
미래에셋대우,금융 지원 서비스업
미래에셋생명,보험업
미래에셋증권,금융 지원 서비스업
미우,기타 전문 도매업
미원,기타 식품 제조업
미원상사,기타 화학제품 제조업
미원에스씨,기초 화학물질 제조업
미원홀딩스,기타 금융업
미원화학,기타 화학제품 제조업
미창석유공업,석유 정제품 제조업
바로크,가구 제조업
방림,직물직조 및 직물제품 제조업
배명금속,1차 철강 제조업
백광산업,기초 화학물질 제조업
백광소재,"시멘트, 석회, 플라스터 및 그 제품 제조업"
백산,플라스틱제품 제조업
범양건영,건물 건설업
범양식품,비알코올음료 및 얼음 제조업
베네데스하이텍,상품 종합 도매업
벽산,기타 비금속 광물제품 제조업
벽산개발,토목 건설업
벽산건설,건물 건설업
보락,기타 화학제품 제조업
보람은행,은행 및 저축기관
보령제약,의약품 제조업
보루네오,가구 제조업
보해양조,알코올음료 제조업
봉신,특수 목적용 기계 제조업
부광약품,의약품 제조업
부국증권,금융 지원 서비스업
부국철강,1차 철강 제조업
부산도시가스,연료용 가스 제조 및 배관공급업
부산산업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
부산은행,은행 및 저축기관
부산주공,자동차 신품 부품 제조업
부흥,봉제의복 제조업
비상교육,"서적, 잡지 및 기타 인쇄물 출판업"
빙그레,낙농제품 및 식용빙과류 제조업
사조대림,수산물 가공 및 저장 처리업
사조동아원,"곡물가공품, 전분 및 전분제품 제조업"
사조산업,어로 어업
사조씨푸드,수산물 가공 및 저장 처리업
사조오양,수산물 가공 및 저장 처리업
사조해표,기타 식품 제조업
산은캐피탈,기타 금융업
삼광글라스,유리 및 유리제품 제조업
삼도물산,생활용품 도매업
삼보컴퓨터,컴퓨터 및 주변장치 제조업
삼부토건,토목 건설업
삼삼종합금융,기타 금융업
삼성SDI,일차전지 및 축전지 제조업
삼성건설,건물 건설업
삼성공조,자동차 신품 부품 제조업
삼성물산,기타 전문 도매업
삼성물산f,상품 중개업
삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업
삼성생명,보험업
삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
삼성엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
삼성이미징,"의료, 정밀, 광학기기 및 시계 제조업"
삼성전기,전자부품 제조업
삼성전자,통신 및 방송 장비 제조업
삼성제약,의약품 제조업
삼성중공업,선박 및 보트 건조업
삼성증권,금융 지원 서비스업
삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업"
삼성카드,기타 금융업
삼성화재해상보험,보험업
삼신,가구 제조업
삼아알미늄,1차 비철금속 제조업
삼애인더스,봉제의복 제조업
삼양사,기타 식품 제조업
삼양식품,기타 식품 제조업
삼양엔텍,특수 목적용 기계 제조업
삼양제넥스,"곡물가공품, 전분 및 전분제품 제조업"
삼양종합금융,기타 금융업
삼양통상,"가죽, 가방 및 유사제품 제조업"
삼양패키징,플라스틱제품 제조업
삼양홀딩스,기타 금융업
삼영무역,기타 전문 도매업
삼영전자공업,전자부품 제조업
삼영화학공업,플라스틱제품 제조업
삼원강재,자동차 신품 부품 제조업
삼익THK,일반 목적용 기계 제조업
삼익건설,건물 건설업
삼익악기,악기 제조업
삼익주택,건물 건설업
삼일제약,의약품 제조업
삼정펄프,"펄프, 종이 및 판지 제조업"
삼진제약,의약품 제조업
삼진화학,"펄프, 종이 및 판지 제조업"
삼천리,연료용 가스 제조 및 배관공급업
삼호,건물 건설업
삼호개발,기반조성 및 시설물 축조관련 전문공사업
삼화실업,nan
삼화왕관,기타 금속 가공제품 제조업
삼화전기,전자부품 제조업
삼화전자공업,영상 및 음향기기 제조업
삼화콘덴서공업,전자부품 제조업
삼화페인트공업,기타 화학제품 제조업
삼환기업,토목 건설업
상신브레이크,자동차 신품 부품 제조업
새론오토모티브,자동차 신품 부품 제조업
새한종합금융,기타 금융업
샘표,기타 금융업
샘표식품,기타 식품 제조업
서광건설,토목 건설업
서연,기타 금융업
서연이화,자동차 신품 부품 제조업
서울교통공사,육상 여객 운송업
서울도시가스,연료용 가스 제조 및 배관공급업
서울식품공업,기타 식품 제조업
서울저축은행,은행 및 저축기관
서원,금속 주조업
서통,합성고무 및 플라스틱 물질 제조업
서흥,기타 화학제품 제조업
선도전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
선진,동물용 사료 및 조제식품 제조업
선진금속,1차 비철금속 제조업
선진지주,동물용 사료 및 조제식품 제조업
선창산업,나무제품 제조업
성문전자,전자부품 제조업
성보화학,"비료, 농약 및 살균, 살충제 제조업"
성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업"
성안,직물직조 및 직물제품 제조업
성원건설,토목 건설업
성지건설,토목 건설업
성창기업지주,회사 본부 및 경영 컨설팅 서비스업
세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업"
세방,도로 화물 운송업
세방전지,일차전지 및 축전지 제조업
세신,기타 금속 가공제품 제조업
세아베스틸,1차 철강 제조업
세아제강,1차 철강 제조업
세아제강지주,1차 철강 제조업
세아특수강,1차 철강 제조업
세아홀딩스,기타 금융업
세우글로벌,기타 전문 도매업
세원셀론텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
세원정공,자동차 신품 부품 제조업
세원화성,합성고무 및 플라스틱 물질 제조업
세이브존I&C,종합 소매업
세종공업,자동차 신품 부품 제조업
세진중공업,선박 및 보트 건조업
세하,"펄프, 종이 및 판지 제조업"
세화아이엠씨,특수 목적용 기계 제조업
